Position,Year,Make,Model,Time (min:sec),time (s),horsepower (hp),torque (lb-ft),kerb weight (lb),wheel base (in),width (in),height (in),RWD,AWD,FWD,0-60 (s),top speed (mph),manual,automatic,Comments,Sources
1,2009,Radical,SR8 LM,06:48.0,408,453,280,1664,94,72.83,43,1,0,0,2.8,173,1,0,,https://www.radicalsportscarsnz.co.nz/sr8
2,2005,Radical,SR8,06:56.1,416.1,358.03,210,1389,94,70.9,43,1,0,0,2.8,168,1,0,"top speed: https://fastestlaps.com/models/radical-sr8 , 0-60 https://www.grouparacingteam.com/radical-cars#:~:text=The%20SR8%20is%20a%20truly,0%2D60%20in%202.8%20seconds.",https://www.ultimatecarpage.com/spec/3259/Radical-SR8.html
3,2013,Porsche,918 Spyder,06:57.0,417,874.9,944.1,3606,107.5,76.4,45.9,0,1,0,2.7,214.25,0,1,,https://www.supercars.net/blog/2013-porsche-918-spyder/ 
4,2015,Lamborghini,Aventador LP 750-4 Superveloce,06:59.7,419.7,750,508,3362,106.3,79.9,44.7,0,1,0,2.8,217.35,0,1,"weight, transmission, torque: https://www.ultimatespecs.com/car-specs/Lamborghini/71767/Lamborghini-Aventador-LP-750-4-SV.html ",https://www.supercars.net/blog/2015-lamborghini-aventador-lp-750-4-superveloce/
5,2015,Nissan,GT-R Nismo,07:08.7,428.7,545,481,3851,109.4,74.6,53.9,0,1,0,3.2,196,0,1,all from edmunds except top speed from kelley blue book,https://www.edmunds.com/nissan/gt-r/2015/nismo/st-200689784/features-specs/
6,2009,Gumpert,Apollo Speed,07:11.6,431.6,740,663,2646,106.3,78.66,43.86,1,0,0,2.897,224,1,0,,https://www.ultimatespecs.com/car-specs/Gumpert/38756/Gumpert-Apollo-S.html
7,2010,Dodge,Viper SRT-10 ACR,07:12.1,432.1,631.2448,605,3190,98.8,75.2,47.6,1,0,0,3.3,185,1,0,,https://www.caranddriver.com/reviews/a15126395/2010-dodge-viper-srt10-acr-x-first-drive-review/
8,2012,Lexus,LFA Nurburgring Package,07:14.6,434.6,562,354,3263,63.2,74.6,48,1,0,0,3.7,202,0,1,,https://www.supercars.net/blog/2012-lexus-lfa-nurburgring-package/
9,2005,Donkervoort,D8 RS,07:14.9,434.9,340,450,1433,92.13,72.83,44.96,1,0,0,3.9,154,1,0,"hp, drive type, transmission: https://fastestlaps.com/models/donkervoort-d8-rs  
top speed: https://www.automobile-catalog.com/performance/2005/695300/donkervoort_d8-270_rs.html#gsc.tab=0  
Dimensions: https://www.donkervoort.com/en/models/heritage/d8-gto-rs/",https://www.supercars.net/blog/2005-donkervoort-d8-270-rs/
10,2010,Porsche,911 GT2 RS,07:18.0,438,603,516,3021,92.5,72.9,58.3,1,0,0,3.38,204.93,1,0,,https://www.supercars.net/blog/2010-porsche-911-gt2-rs/
